,id,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Other Reason,Year,PopMale,PopFemale,PopTotal,PopDensity
129,140,Central African Republic,Sub-Saharan Africa,155,3.083,0.024,0.0,0.01,0.305,0.038,0.218,2.488,2018,2312.82,2353.555,4666.375,7.49
130,140,Central African Republic,Sub-Saharan Africa,155,2.693000078,0.0,0.0,0.018772686,0.270842046,0.056565076,0.280876487,2.065943783,2017,2277.876,2318.147,4596.023,7.377
131,148,Chad,Sub-Saharan Africa,137,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.053581882,0.21611385,2.070958775,2017,7495.003,7521.758,15016.761,11.926
132,148,Chad,Sub-Saharan Africa,144,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30658,2016,7267.235,7294.423,14561.658,11.564
133,148,Chad,Sub-Saharan Africa,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181,2.553,2018,7725.723,7752.004,15477.727,12.292
134,148,Chad,Sub-Saharan Africa,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,2.592,2019,7960.522,7986.36,15946.882,12.664
135,148,Chad,Sub-Saharan Africa,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94279,2015,7041.734,7069.237,14110.971,11.206
136,152,Chile,Latin America and Caribbean,20,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.082287982,0.326662421,2.509865001,2017,9097.252,9373.183,18470.435,24.841
137,152,Chile,Latin America and Caribbean,24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95525,2016,8965.258,9243.814,18209.072,24.49
138,152,Chile,Latin America and Caribbean,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,2.396,2019,9341.774,9610.261,18952.035,25.489
139,152,Chile,Latin America and Caribbean,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2.517,2018,9228.416,9500.75,18729.166,25.189
140,152,Chile,Latin America and Caribbean,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67617,2015,8844.8,9124.556,17969.356,24.168
141,156,China,Eastern Asia,79,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.022794275,0.028806841,1.765192237,2017,729462.38,691559.414,1421021.794,151.362
142,156,China,Eastern Asia,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,1.465,2019,735624.259,698159.433,1433783.692,152.722
143,156,China,Eastern Asia,83,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17062,2016,726052.413,687996.94,1414049.353,150.62
144,156,China,Eastern Asia,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029,1.587,2018,732677.783,694970.006,1427647.789,152.068
145,156,China,Eastern Asia,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.85992,2015,722508.006,684339.862,1406847.868,149.853
146,170,Colombia,Latin America and Caribbean,36,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.046668742,0.149014473,2.615996059,2017,23990.081,24919.763,48909.844,44.083
147,170,Colombia,Latin America and Caribbean,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.1748,2016,23618.154,24556.894,48175.048,43.421
148,170,Colombia,Latin America and Caribbean,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,2.286,2019,24713.193,25626.25,50339.443,45.371
149,170,Colombia,Latin America and Caribbean,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2.557,2018,24370.78,25290.276,49661.056,44.76
150,170,Colombia,Latin America and Caribbean,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85757,2015,23288.781,24231.886,47520.667,42.831
151,174,Comoros,Sub-Saharan Africa,138,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25668,2016,401.274,394.323,795.597,427.51
152,174,Comoros,Sub-Saharan Africa,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275,1.942,2019,429.21,421.681,850.891,457.222
153,174,Comoros,Sub-Saharan Africa,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95848,2015,392.089,385.346,777.435,417.751
154,178,Congo,Sub-Saharan Africa,124,4.290999889,0.808964252,0.832044363,0.289957434,0.435025871,0.079618134,0.120852128,1.724537708,2017,2551.316,2559.385,5110.701,14.965
